city,AQI,PM2.5/1h,PM1.0/h,CO/1h,NO2/1h,o3/1h,SO2/1h
阿坝州,33,13,25,0.35,4,36,65,11
阿克苏地区,71,22,61,0.35,12,113,124,4
阿拉善盟,70,16,22,0.6,7,119,122,7
阿勒泰地区,79,4,14,0.15,9,130,133,7
阿里地区,81,7,15,0.4,5,138,135,3
安康,71,29,53,0.53,10,121,123,8
安庆,90,26,42,0.58,15,143,146,8
鞍山,101,25,48,0.86,27,142,160,17
安顺,48,33,44,0.55,21,58,59,11
安阳,125,17,51,0.46,18,178,186,6
白城,62,15,25,0.4,15,84,113,15
百色,36,25,26,0.7,14,56,70,6
白山,54,13,20,0.45,12,96,103,4
白银,45,12,29,0.6,9,86,88,69
保定,178,34,65,0.35,26,198,242,8
宝鸡,64,26,60,0.83,36,57,115,4
保山,30,11,28,0.4,6,55,58,2
包头,80,41,55,1.08,27,143,134,13
巴彦淖尔,85,38,64,1.03,14,130,140,8
